59.2,13.7,58.1,28.2,0.7,92.8,24.7
67.5,16.6,59.6,23.8,2.2,78.3,16.6
45.1,10,55.8,34.2,1.3,85.1,20.3
66.6,14.6,57.6,27.8,1.6,78.5,21.4
72,23.8,59.5,16.7,2.2,93.7,11.7
38.3,7.9,60.8,31.3,0.8,94.8,26.1
53.1,9.4,56.7,33.9,1.2,89.2,16.8
38.4,25.9,54.3,19.9,0.8,96.8,17.7
41.3,12.6,55.1,32.3,1.4,94.4,20.1
54.4,20.4,58,21.6,0.9,89.9,20.6
75.3,12.6,60.1,27.3,1.5,63.2,29.5
41.7,14.3,54.1,31.6,1.4,83.5,18.9
98.3,16.1,60.1,23.8,6.3,57.9,25
45.9,16.5,56.5,27,0.7,93.4,21.9
97.5,21.4,62.8,15.8,1.9,60.4,18.5
30.9,13.5,60.3,26.2,0.7,93.4,18.5
60.9,15.3,57.5,27.3,0.8,93.5,16.1
93.3,14.7,62,23.3,2,56.2,30.5
66,23.9,63,13.2,1.3,94.8,7.5
83.7,17.7,63.8,18.4,4.1,58.8,27.7
39.9,10.8,57.1,32,0.8,89.8,18.9
49.5,16.3,57.3,26.4,1.7,87.7,23.3
39.5,17.7,60.3,22,1.4,96.5,13.4
41.8,13.3,56.8,29.9,2.7,91.2,18.4
56.5,10.1,57.5,32.4,1.6,90.4,23.6
50.6,8.8,55.5,35.7,1.3,84.3,19.3
73,16.5,60.2,23.3,2,93.7,10.5
70.7,18.6,56.6,24.8,0.6,96.8,16.8
54.1,14.5,56.2,29.3,0.7,83,21.6
54.2,20.9,60.1,19,0.3,98,24.5
42.2,16,59.7,24.3,0.8,97.3,6.4
55.6,15.6,58.3,26.1,1.7,88.5,16.2
50.8,18.6,59,22.4,2.3,92.5,13.1
86.7,19.5,60.3,20.2,1.7,74.1,25.5
78,15.4,60.6,24,3.5,63.8,25.8
99.3,16,63.8,20.2,4.2,52.7,22
39.4,13,56.9,30.1,1.5,82.4,21.2
48.9,19.2,58.1,22.7,0.5,95,23.6
92.2,14.9,62.3,22.8,3.1,57.2,27.5
47.9,13.6,55.4,31,1.2,89.6,21.8
44.4,11.3,54,34.7,0.3,91.1,23.7
55.4,10.5,56.5,33,1.5,83.8,19.3
41.7,19.7,57.5,22.8,0.4,98.2,20.6
97.3,16.8,64.3,18.9,3.2,45.2,31.6
43.7,10.2,56.2,33.5,1.1,94.3,22.1
89.3,16.9,65.9,17.2,2.4,52.3,35.9
60.5,13.7,56.3,30.1,1.3,86.2,15.6
50.3,12.3,54.9,32.8,0.9,79.5,21.4
75.7,19.9,64,16.1,1,94.6,5.9
27.6,11.3,56.8,31.8,2.2,97.2,20.3
57.3,14.7,58.3,27,1.1,80.6,22.8
45.8,9.5,57.2,33.3,1,87.4,22.6
74.8,16.2,60.9,22.9,4,71.7,23.3
49.3,17.3,61.2,21.5,6.2,96.4,15.5
